id,premium,name,department,has_test,response_letter_required,salary_range,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,branding,show_logo_in_search,show_contacts,insider_interview,url,alternate_url,relations,snippet,contacts,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,accept_labor_contract,civil_law_contracts,night_shifts,accept_incomplete_resumes,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context,key_skills,search_query,employer_id,employer_name,employer_url,employer_alternate_url,employer_vacancies_url,employer_country_id,employer_accredited_it_employer,employer_trusted,employer_logo_urls.original,employer_logo_urls.90,employer_logo_urls.240,employer_logo_urls,area_id,area_name,area_url,salary_from,salary_to,salary_currency,salary_gross,type_id,type_name,schedule_id,schedule_name,experience_id,experience_name,employment_id,employment_name,professional_roles_id,professional_roles_name
131177894,False,Analyst/Маркетинговый аналитик,,False,False,,"{'city': 'Москва', 'street': 'Ленинградский проспект', 'building': '37', 'lat': 55.792281, 'lng': 37.540757, 'description': None, 'raw': 'Москва, Ленинградский проспект, 37', 'metro': {'station_name': 'Аэропорт', 'line_name': 'Замоскворецкая', 'station_id': '2.12', 'line_id': '2', 'lat': 55.800441, 'lng': 37.530477}, 'metro_stations': [{'station_name': 'Аэропорт', 'line_name': 'Замоскворецкая', 'station_id': '2.12', 'line_id': '2', 'lat': 55.800441, 'lng': 37.530477}], 'id': '1112510'}",,,2026-03-15T16:26:04+0300,2026-03-15T16:26:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131177894,"{'type': 'MAKEUP', 'tariff': None}",True,False,,https://api.hh.ru/vacancies/131177894?host=hh.ru,https://hh.ru/vacancy/131177894,[],"{'requirement': 'Опыт визуализации данных в Yandex DataLens. Опыт работы с системами мобильной <highlighttext>аналитики</highlighttext>: AppsFlyer, Adjust, MyTracker, AppMetrica. Базовое понимание концепций DWH...', 'responsibility': 'Анализ эффективности рекламных кампаний и расчёт ключевых маркетинговых метрик (CAC, ROMI, CTR, CR и др.). Разработка и поддержка маркетинговых дашбордов...'}",,[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"SQL, Python, Clickhouse, PostgreSQL",Аналитик,1721725,Rocket10,https://api.hh.ru/employers/1721725,https://hh.ru/employer/1721725,https://api.hh.ru/vacancies?employer_id=1721725,1,False,True,https://img.hhcdn.ru/employer-logo-original-round/3116207.jpeg,https://img.hhcdn.ru/employer-logo-round/3116208.jpeg,https://img.hhcdn.ru/employer-logo-round/3116209.jpeg,,1,Москва,https://api.hh.ru/areas/1,150000.0,210000.0,RUR,True,open,Открытая,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,163,Маркетолог-аналитик
131170462,False,Аналитик (поддержка и развитие отчетности),,False,False,,"{'city': 'Москва', 'street': 'Ленинградский проспект', 'building': '37', 'lat': 55.792108, 'lng': 37.540757, 'description': None, 'raw': 'Москва, Ленинградский проспект, 37', 'metro': None, 'metro_stations': [], 'id': '11306569'}",,,2026-03-15T14:05:58+0300,2026-03-15T14:05:58+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131170462,,,False,,https://api.hh.ru/vacancies/131170462?host=hh.ru,https://hh.ru/vacancy/131170462,[],"{'requirement': 'Высшее образование (предпочтительно, информационные технологии, математика). Понимание общих принципов построения отчетности, структуры данных. Аналитические навыки, умение работать с большими объемами...', 'responsibility': 'Определение улучшения для регулярных отчетов, дашбордов на основе отзывов конечных пользователей. Выявление потребности по разработке новых отчетов с заинтересованными сторонами. '}",,[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"Аналитика, MS Excel",Аналитик,5569859,ARK,https://api.hh.ru/employers/5569859,https://hh.ru/employer/5569859,https://api.hh.ru/vacancies?employer_id=5569859,1,True,True,https://img.hhcdn.ru/employer-logo-original/1397675.png,https://img.hhcdn.ru/employer-logo/7210475.png,https://img.hhcdn.ru/employer-logo/7210476.png,,1,Москва,https://api.hh.ru/areas/1,80000.0,120000.0,RUR,False,open,Открытая,remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,40,Другое
131038264,False,Системный аналитик/Аналитик данных,,False,False,,"{'city': 'Москва', 'street': None, 'building': None, 'lat': 55.755864, 'lng': 37.617698, 'description': None, 'raw': 'Москва', 'metro': {'station_name': 'Библиотека им.Ленина', 'line_name': 'Сокольническая', 'station_id': '1.4', 'line_id': '1', 'lat': 55.752123, 'lng': 37.610388}, 'metro_stations': [{'station_name': 'Библиотека им.Ленина', 'line_name': 'Сокольническая', 'station_id': '1.4', 'line_id': '1', 'lat': 55.752123, 'lng': 37.610388}, {'station_name': 'Охотный ряд', 'line_name': 'Сокольническая', 'station_id': '1.98', 'line_id': '1', 'lat': 55.757228, 'lng': 37.615078}, {'station_name': 'Площадь Революции', 'line_name': 'Арбатско-Покровская', 'station_id': '3.100', 'line_id': '3', 'lat': 55.756741, 'lng': 37.62236}, {'station_name': 'Театральная', 'line_name': 'Замоскворецкая', 'station_id': '2.99', 'line_id': '2', 'lat': 55.758808, 'lng': 37.61768}], 'id': '23690586'}",,,2026-03-15T16:54:29+0300,2026-03-15T16:54:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131038264,,,False,,https://api.hh.ru/vacancies/131038264?host=hh.ru,https://hh.ru/vacancy/131038264,[],"{'requirement': 'Мы ищем системного <highlighttext>аналитика</highlighttext>, имеющего опыт работы с большим объемом данных и владеющего инструментами анализа. Ваш будущий продукт - сложный биллинг...', 'responsibility': 'вносить изменения (путем написания тасков для разработки) в существующую систему.'}",,[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"Системный анализ, Анализ данных",Аналитик,3378277,Creddy,https://api.hh.ru/employers/3378277,https://hh.ru/employer/3378277,https://api.hh.ru/vacancies?employer_id=3378277,1,False,True,https://img.hhcdn.ru/employer-logo-original/1390530.png,https://img.hhcdn.ru/employer-logo/7181907.png,https://img.hhcdn.ru/employer-logo/7181908.png,,1,Москва,https://api.hh.ru/areas/1,,295000.0,RUR,True,open,Открытая,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,148,Системный аналитик
131175405,False,Аналитик данных - Data Analyst (middle),,False,True,"{'from': 150000, 'to': 210000, 'currency': 'RUR', 'gross': True, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'city': 'Москва', 'street': 'Одесская улица', 'building': '2', 'lat': 55.664187, 'lng': 37.598672, 'description': None, 'raw': 'Москва, Одесская улица, 2', 'metro': {'station_name': 'Каховская', 'line_name': 'Каховская', 'station_id': '11.44', 'line_id': '11', 'lat': 55.652923, 'lng': 37.596573}, 'metro_stations': [{'station_name': 'Каховская', 'line_name': 'Каховская', 'station_id': '11.44', 'line_id': '11', 'lat': 55.652923, 'lng': 37.596573}, {'station_name': 'Каховская', 'line_name': 'Большая кольцевая линия', 'station_id': '97.818', 'line_id': '97', 'lat': 55.653056, 'lng': 37.598333}, {'station_name': 'Нагорная', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.86', 'line_id': '9', 'lat': 55.672962, 'lng': 37.610397}, {'station_name': 'Нахимовский проспект', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.87', 'line_id': '9', 'lat': 55.662379, 'lng': 37.605274}], 'id': '18951924'}",,,2026-03-15T15:36:41+0300,2026-03-15T15:36:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131175405,,,False,,https://api.hh.ru/vacancies/131175405?host=hh.ru,https://hh.ru/vacancy/131175405,[],"{'requirement': 'Опыт работы в роли <highlighttext>аналитика</highlighttext> данных на уровне middle (от 3 лет). Глубокое знание SQL (MySQL, ClickHouse). Опыт работы с...', 'responsibility': 'Описанием модели данных клиентов и нашей внутренней модели данных. Разработкой преобразований для отражения модели данных клиента на нашу модель данных. '}",,[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"SQL, Python, JSON, MS SQL, Big Data, Clickhouse, Маркетинговые метрики",Аналитик,10869151,Smartis,https://api.hh.ru/employers/10869151,https://hh.ru/employer/10869151,https://api.hh.ru/vacancies?employer_id=10869151,1,True,True,https://img.hhcdn.ru/employer-logo-original-round/6614919.jpg,https://img.hhcdn.ru/employer-logo-round/6614921.jpeg,https://img.hhcdn.ru/employer-logo-round/6614922.jpeg,,2,Санкт-Петербург,https://api.hh.ru/areas/2,80000.0,80000.0,RUR,False,open,Открытая,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,156,"BI-аналитик, аналитик данных"
131168313,False,Системный аналитик,,False,False,,"{'city': 'Москва', 'street': 'Нижний Сусальный переулок', 'building': '5с15', 'lat': 55.758509, 'lng': 37.664393, 'description': None, 'raw': 'Москва, Нижний Сусальный переулок, 5с15', 'metro': {'station_name': 'Курская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.70', 'line_id': '3', 'lat': 55.758564, 'lng': 37.659039}, 'metro_stations': [{'station_name': 'Курская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.70', 'line_id': '3', 'lat': 55.758564, 'lng': 37.659039}, {'station_name': 'Курская', 'line_name': 'Кольцевая', 'station_id': '5.71', 'line_id': '5', 'lat': 55.758631, 'lng': 37.661059}, {'station_name': 'Курская', 'line_name': 'МЦД-2', 'station_id': '132.726', 'line_id': '132', 'lat': 55.757622, 'lng': 37.660767}], 'id': '17168446'}",,,2026-03-15T13:22:33+0300,2026-03-15T13:22:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131168313,"{'type': 'MAKEUP', 'tariff': None}",True,False,,https://api.hh.ru/vacancies/131168313?host=hh.ru,https://hh.ru/vacancy/131168313,[],"{'requirement': 'Опыт работы системным <highlighttext>аналитиком</highlighttext> от 2-х лет (опыт в финтехе будет преимуществом). Высшее образование (техническое, математическое, IT, физика). ', 'responsibility': 'Работа в составе команды разработки по гибкой методологии в роли системного <highlighttext>аналитика</highlighttext>. Стек: React, Java, Camunda, Flutter. Kafka, PostgreSQL. '}",,[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"Системная интеграция, Постановка задач разработчикам, Node.js, React, Flutter, Apache Kafka, PostgreSQL, REST API, Miro, Git, Postman, Golang, Swagger",Аналитик,8643040,efin,https://api.hh.ru/employers/8643040,https://hh.ru/employer/8643040,https://api.hh.ru/vacancies?employer_id=8643040,1,True,True,https://img.hhcdn.ru/employer-logo-original-round/6995705.jpeg,https://img.hhcdn.ru/employer-logo-round/6995706.jpeg,https://img.hhcdn.ru/employer-logo-round/6995707.jpeg,,1,Москва,https://api.hh.ru/areas/1,80000.0,100000.0,RUR,True,open,Открытая,remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,148,Системный аналитик
129407648,False,Аналитик / Старший аналитик,,True,False,,,,,2026-03-15T11:15:46+0300,2026-03-15T11:15:46+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=129407648,,,False,,https://api.hh.ru/vacancies/129407648?host=hh.ru,https://hh.ru/vacancy/129407648,[],"{'requirement': 'Опыт работы от 1 года в роли <highlighttext>аналитика</highlighttext> на протяжении всего жизненного цикла проекта по внедрению информационных систем. ', 'responsibility': 'Обсуждение прототипа с заказчиком. Написание документации. Постановка задач разработчику. Участие в тестировании и ПСИ. Для старшего <highlighttext>аналитика</highlighttext>: курирование и мотивация...'}",,[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"SQL, Oracle Pl/SQL, MS SQL, Анализ данных, Аналитическое мышление, Системный анализ, Ориентация на результат, Аналитические исследования, Oracle CRM",Аналитик,64474,GlowByte,https://api.hh.ru/employers/64474,https://hh.ru/employer/64474,https://api.hh.ru/vacancies?employer_id=64474,1,False,True,https://img.hhcdn.ru/employer-logo-original-round/5663879.png,https://img.hhcdn.ru/employer-logo-round/5663880.png,https://img.hhcdn.ru/employer-logo-round/5663881.png,,1,Москва,https://api.hh.ru/areas/1,145478.0,,RUR,True,open,Открытая,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,10,Аналитик
131178740,False,Младший менеджер по маркетплейсам/Начинающий специалист/Аналитик по маркетплейсам,,False,False,"{'from': 80000, 'to': 120000, 'currency': 'RUR', 'gross': False, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'city': 'Москва', 'street': 'улица Перерва', 'building': '45', 'lat': 55.65984828785258, 'lng': 37.748338350640516, 'description': None, 'raw': 'Москва, улица Перерва, 45', 'metro': {'station_name': 'Братиславская', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.25', 'line_id': '10', 'lat': 55.658817, 'lng': 37.748415}, 'metro_stations': [{'station_name': 'Братиславская', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.25', 'line_id': '10', 'lat': 55.658817, 'lng': 37.748415}, {'station_name': 'Марьино', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.79', 'line_id': '10', 'lat': 55.649158, 'lng': 37.743844}], 'id': '24128395'}",,,2026-03-15T16:47:57+0300,2026-03-15T16:47:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131178740,,,False,,https://api.hh.ru/vacancies/131178740?host=hh.ru,https://hh.ru/vacancy/131178740,[],"{'requirement': 'Уверенный пользователь Excel/Google Sheets: сводные таблицы, ВПР, логические функции — не просто ""умею забивать цифры"". - Способен к анализу: не просто...', 'responsibility': 'SEO оптимизация. Продвижение товаров в ТОП. Создание стратегий развития товаров. Ценообразование, анализ конкурентов, работа с акциями. <highlighttext>Аналитика</highlighttext>, работа с отчетами.'}",,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",True,,False,,,Аналитик,9950391,LUBRAN,https://api.hh.ru/employers/9950391,https://hh.ru/employer/9950391,https://api.hh.ru/vacancies?employer_id=9950391,1,False,True,https://img.hhcdn.ru/employer-logo-original/1426083.png,https://img.hhcdn.ru/employer-logo/7323981.png,https://img.hhcdn.ru/employer-logo/7323982.png,,1,Москва,https://api.hh.ru/areas/1,110000.0,160000.0,RUR,False,open,Открытая,fullDay,Полный день,noExperience,Нет опыта,full,Полная занятость,68,"Менеджер по маркетингу, интернет-маркетолог"
129791080,False,Аналитик / Тестировщик,,False,False,,"{'city': 'Москва', 'street': 'Саввинская набережная', 'building': '15', 'lat': 55.734866, 'lng': 37.566189, 'description': None, 'raw': 'Москва, Саввинская набережная, 15', 'metro': {'station_name': 'Киевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.47', 'line_id': '3', 'lat': 55.743117, 'lng': 37.564132}, 'metro_stations': [{'station_name': 'Киевская', 'line_name': 'Арбатско-Покровская', 'station_id': '3.47', 'line_id': '3', 'lat': 55.743117, 'lng': 37.564132}, {'station_name': 'Киевская', 'line_name': 'Филевская', 'station_id': '4.48', 'line_id': '4', 'lat': 55.743168, 'lng': 37.565425}, {'station_name': 'Киевская', 'line_name': 'Кольцевая', 'station_id': '5.49', 'line_id': '5', 'lat': 55.74361, 'lng': 37.56735}], 'id': '730401'}",,,2026-03-15T11:21:36+0300,2026-03-15T11:21:36+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=129791080,,,False,,https://api.hh.ru/vacancies/129791080?host=hh.ru,https://hh.ru/vacancy/129791080,[],"{'requirement': 'Понимание принципов тестирования и внедрения ПО. Знание методологии разработки и тестирования ПО. Ответственность, исполнительность, активная жизненная позиция. Навыки деловой переписки...', 'responsibility': 'Организация процесса и непосредственное участие в тестировании и внедрении ПО. Участие в приведении изменений, вносимых в информационные системы, в соответствие...'}",,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,,Аналитик,63198,Gridnine,https://api.hh.ru/employers/63198,https://hh.ru/employer/63198,https://api.hh.ru/vacancies?employer_id=63198,1,False,True,https://img.hhcdn.ru/employer-logo-original/1416614.png,https://img.hhcdn.ru/employer-logo/7286105.png,https://img.hhcdn.ru/employer-logo/7286106.png,,1,Москва,https://api.hh.ru/areas/1,,300000.0,RUR,False,open,Открытая,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,124,Тестировщик
130472573,False,Системный аналитик,,False,False,,,,,2026-03-15T10:25:07+0300,2026-03-15T10:25:07+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=130472573,,,True,,https://api.hh.ru/vacancies/130472573?host=hh.ru,https://hh.ru/vacancy/130472573,[],"{'requirement': 'Опыт работы в качестве системного <highlighttext>аналитика</highlighttext> от 4 лет. Опыт работы с системами управления базами данных (Postgres, Oracle, MSSQL, Clickhouse). ', 'responsibility': 'Написанием проектной и эксплуатационной документации (ТЗ, ТП, сервисная документация). Взаимодействием с командой бизнес-<highlighttext>аналитиков</highlighttext> и разработчиков (уточнение требований, разработка проектных...'}",,[],[],[],True,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': 'SELF_EMPLOYED', 'name': 'с\xa0самозанятым'}, {'id': 'INDIVIDUAL_ENTREPRENEUR', 'name': 'с\xa0ИП'}, {'id': 'INDIVIDUAL_PERSON', 'name': 'с\xa0физлицом'}]",False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"SQL, Atlassian Jira, Atlassian Confluence, Apache Kafka, BPMN, UML, REST",Аналитик,10274254,Ай Девелоп Ит,https://api.hh.ru/employers/10274254,https://hh.ru/employer/10274254,https://api.hh.ru/vacancies?employer_id=10274254,1,False,True,https://img.hhcdn.ru/employer-logo-original-round/6318584.jpg,https://img.hhcdn.ru/employer-logo-round/6318586.jpeg,https://img.hhcdn.ru/employer-logo-round/6318587.jpeg,,1,Москва,https://api.hh.ru/areas/1,150000.0,,RUR,False,open,Открытая,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,148,Системный аналитик
131161624,False,Главный Финансовый аналитик,,False,False,"{'from': None, 'to': 295000, 'currency': 'RUR', 'gross': True, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'city': 'Москва', 'street': 'улица Льва Толстого', 'building': '23к7с3', 'lat': 55.735495, 'lng': 37.584146, 'description': None, 'raw': 'Москва, улица Льва Толстого, 23к7с3', 'metro': {'station_name': 'Парк культуры', 'line_name': 'Сокольническая', 'station_id': '1.103', 'line_id': '1', 'lat': 55.736163, 'lng': 37.595027}, 'metro_stations': [{'station_name': 'Парк культуры', 'line_name': 'Сокольническая', 'station_id': '1.103', 'line_id': '1', 'lat': 55.736163, 'lng': 37.595027}, {'station_name': 'Парк культуры', 'line_name': 'Кольцевая', 'station_id': '5.104', 'line_id': '5', 'lat': 55.735221, 'lng': 37.593095}], 'id': '22141950'}",,,2026-03-15T11:25:29+0300,2026-03-15T11:25:29+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131161624,,,False,,https://api.hh.ru/vacancies/131161624?host=hh.ru,https://hh.ru/vacancy/131161624,[],"{'requirement': 'профильное высшее образование (финансово-экономическое, бухгалтерское). - опыт работы на аналогичных позициях – более 5 лет. - наличие диплома DipIFR. - отличное знание РСБУ. - ', 'responsibility': 'Формирование управленческой отчетности (PL, CF (прямой и косвенный метод), BS) по компаниям Группы по РСБУ (ежемесячно). - Трансформация индивидуальной отчетности компаний...'}",,[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,False,"{'id': 'FULL', 'name': 'Полная'}",False,,False,,"Разработка методологии управленческой отчетности, MS Power BI, Продвинутый пользователь ПК, Excel, Анализ финансовых показателей, 1С: Предприятие 8, Умение работать с большим количеством информации, План-фактный анализ бюджета, Финансовое моделирование, Бюджетирование, Инвестиционный анализ, Оценка инвестиционных проектов, Управленческий учет, Бухгалтерский учет, МСФО",Аналитик,6096631,ПСБ Бизнес,https://api.hh.ru/employers/6096631,https://hh.ru/employer/6096631,https://api.hh.ru/vacancies?employer_id=6096631,1,False,True,https://img.hhcdn.ru/employer-logo-original-round/5526330.png,https://img.hhcdn.ru/employer-logo-round/5526332.png,https://img.hhcdn.ru/employer-logo-round/5526333.png,,1,Москва,https://api.hh.ru/areas/1,120000.0,130000.0,RUR,False,open,Открытая,fullDay,Полный день,moreThan6,Более 6 лет,full,Полная занятость,134,"Финансовый аналитик, инвестиционный аналитик"
